IN,OUT,No,R2,MSE,MAE
2,1,1,0.986865802,0.003310866,0.041729209
3,1,1,0.9309371,0.017409361,0.088998019
4,1,1,0.990411512,0.002417064,0.032709608
4,2,1,0.99038631,0.002427539,0.033691329
4,2,2,0.963074877,0.009308077,0.069994064
5,1,1,0.963473887,0.009207495,0.062976294
5,2,1,0.991224355,0.002215926,0.03214228
5,2,2,0.956729518,0.010907614,0.074874191
6,1,1,0.99192969,0.002034362,0.033853445
6,2,1,-0.93261873,0.488002877,0.543138319
6,2,2,-0.927489533,0.485881139,0.541414856
6,3,1,0.991827183,0.002066919,0.032826282
6,3,2,0.961329027,0.009764754,0.071839431
6,3,3,0.899965202,0.02521675,0.114565175
7,1,1,0.988995634,0.002773978,0.039703342
7,2,1,0.99166234,0.002105331,0.031568725
7,2,2,0.963607399,0.009173839,0.069204359
7,3,1,0.988577354,0.002888807,0.034991023
7,3,2,0.968578619,0.007934169,0.065305907
7,3,3,0.91998822,0.020169352,0.103826194
8,1,1,0.992645432,0.001853938,0.033116177
8,2,1,0.982308928,0.004467148,0.044524736
8,2,2,0.943904294,0.014140593,0.085831747
8,3,1,0.988429757,0.002921334,0.035472048
8,3,2,0.958917448,0.010355886,0.070733301
8,3,3,0.899769834,0.025222882,0.114326175
8,4,1,0.835320346,0.041646191,0.11563321
8,4,2,0.812863021,0.047249626,0.136401104
8,4,3,0.769733094,0.058044538,0.164626531
8,4,4,0.708269646,0.07341383,0.192301741
9,1,1,0.99161241,0.002114342,0.033266532
9,2,1,0.989336464,0.002688011,0.039639178
9,2,2,0.956732596,0.010888225,0.07649497
9,3,1,0.988414303,0.002925236,0.035249218
9,3,2,0.962864318,0.009360978,0.068813555
9,3,3,0.913337642,0.021808549,0.108574381
9,4,1,0.98626954,0.003472325,0.036997078
9,4,2,0.964039083,0.009079659,0.06805075
9,4,3,0.918899226,0.02044348,0.103272802
9,4,4,0.84897181,0.038006185,0.138629269
10,1,1,0.992325535,0.001931276,0.033401522
10,2,1,0.990581705,0.002374117,0.033754561
10,2,2,0.962699101,0.009386757,0.071559691
10,3,1,0.989604356,0.002624763,0.03608282
10,3,2,0.966693006,0.008395862,0.066597611
10,3,3,0.917870516,0.020667853,0.104833689
10,4,1,0.984289577,0.003973043,0.03885387
10,4,2,0.957937072,0.010620336,0.074423694
10,4,3,0.908629447,0.023032235,0.108848771
10,4,4,0.841889963,0.039788329,0.143590399
10,5,1,0.979123378,0.005288018,0.04436175
10,5,2,0.959956854,0.010126597,0.070275464
10,5,3,0.908976027,0.022982356,0.107633213
10,5,4,0.839980826,0.040336839,0.142857968
10,5,5,0.755619929,0.06149815,0.177070859
11,1,1,0.9912814,0.002194032,0.033586027
11,2,1,0.991811879,0.002064021,0.031303717
11,2,2,0.965154553,0.008768843,0.067773575
11,3,1,0.990203448,0.002473501,0.032923307
11,3,2,0.966029441,0.00856313,0.06699995
11,3,3,0.910678398,0.022477746,0.108202428
11,4,1,0.986181431,0.003494608,0.042640398
11,4,2,0.957108576,0.010829521,0.075710076
11,4,3,0.901475164,0.024835651,0.114385001
11,4,4,0.829461057,0.042916059,0.148710674
11,5,1,0.977916537,0.005593709,0.050915753
11,5,2,0.952047568,0.012126793,0.077949119
11,5,3,0.904087718,0.02421659,0.111748407
11,5,4,0.824873304,0.044145068,0.150036454
11,5,5,0.750184805,0.062865897,0.179295936
12,1,1,0.993791433,0.001562383,0.028925451
12,2,1,0.991117573,0.002239038,0.031896888
12,2,2,0.963369396,0.009218077,0.067479286
12,3,1,0.986773508,0.003339515,0.042145892
12,3,2,0.964850613,0.008860283,0.067533558
12,3,3,0.914594802,0.021492185,0.105945753
12,4,1,0.988689742,0.002860275,0.035633449
12,4,2,0.956417851,0.01100392,0.075287924
12,4,3,0.898270217,0.025643538,0.116460482
12,4,4,0.818125216,0.045768718,0.154802481
12,5,1,0.977418304,0.00571991,0.057338125
12,5,2,0.958333951,0.010537016,0.079070081
12,5,3,0.915848233,0.021247214,0.109046344
12,5,4,0.856619123,0.036142739,0.141713251
12,5,5,0.772876615,0.057155511,0.176188362
12,6,1,0.971498393,0.007231853,0.051084363
12,6,2,0.949937374,0.01268079,0.078766238
12,6,3,0.900871648,0.025068781,0.114482953
12,6,4,0.822255611,0.044878121,0.151490666
12,6,5,0.746230709,0.063968902,0.184752337
12,6,6,0.657278534,0.086245723,0.21191989
13,1,1,0.991522043,0.002133474,0.032757524
13,2,1,0.991209457,0.002215877,0.031957461
13,2,2,0.962687927,0.009389569,0.069979738
13,3,1,0.982535644,0.00440952,0.040285135
13,3,2,0.963015759,0.009322804,0.071259345
13,3,3,0.915299745,0.021314786,0.108314459
13,4,1,0.98341502,0.004194211,0.049848249
13,4,2,0.96263559,0.009434022,0.073846681
13,4,3,0.91486588,0.021460186,0.11016652
13,4,4,0.857805616,0.035783161,0.140330806
13,5,1,0.985671235,0.003629455,0.041127015
