IN,OUT,No,R2,MSE,MAE
2,1,1,0.9843856627197168,0.003936058722367047,0.04141654943881465
3,1,1,0.9634583238852994,0.009211417713052665,0.06709287681396879
4,1,1,0.9924779660758873,0.0018961526644061155,0.03124063804825118
4,2,1,0.9888740117489193,0.0028094078734722788,0.03463933075038027
4,2,2,0.9609131445082089,0.009853005973083159,0.07068417440153343
5,1,1,0.9875790735810447,0.0031310644117405542,0.03885194835184224
5,2,1,0.985887526445056,0.003563521138500042,0.04272399732251502
5,2,2,0.9400987908642775,0.015099883681692681,0.08571463109805694
6,1,1,0.9923389858659993,0.0019311867652806107,0.03158548280351848
6,2,1,0.9888010790053103,0.0028278240194815046,0.040405897339443476
6,2,2,0.958962030039931,0.010344842480989208,0.07387074820722717
6,3,1,0.9861205735143664,0.0035101304530571185,0.04126282496525258
6,3,2,0.9543311592747015,0.011531775677863289,0.07695659731168256
6,3,3,0.9037659854778329,0.02425864930730534,0.11186380500625916
7,1,1,0.9914414071001423,0.0021574482240249698,0.03316466093707116
7,2,1,0.9906584360958993,0.0023588253546983347,0.03238812062510608
7,2,2,0.9608124850337791,0.00987838019135488,0.070578643184198
7,3,1,0.9874358314281166,0.0031774995002250626,0.03853916374546024
7,3,2,0.9671863426095856,0.008285731150318077,0.06556082830667492
7,3,3,0.919842098103429,0.020206186357011952,0.10338452467703624
8,1,1,0.9908448806480364,0.0023078204814437108,0.03289320417777642
8,2,1,-0.7597637827308774,0.44435551387314076,0.5123584774224478
8,2,2,-0.7023730072110621,0.4291338148700356,0.5012796534011151
8,3,1,0.9876626931610442,0.0031150077265613336,0.03694529585923491
8,3,2,0.9663281248585015,0.008487839052803186,0.0663756403170302
8,3,3,0.9172508522813794,0.02082379081100585,0.10515413207100749
8,4,1,0.980666281867023,0.004889345426311749,0.04795891236548417
8,4,2,0.9568588669623376,0.010892568734741965,0.07642280871817726
8,4,3,0.9026256986370436,0.02454563027377472,0.11305369847537156
8,4,4,0.8354493741612328,0.041409100936462225,0.1458206218866155
9,1,1,0.980721025295625,0.004859839721745332,0.04491586520897199
9,2,1,0.9916655265686205,0.0021009126690490943,0.03173467438499712
9,2,2,0.9595684061964461,0.010174594841552776,0.07213576217783577
9,3,1,0.984727577443095,0.003856085845076924,0.04179810150278596
9,3,2,0.953345371102606,0.011760467140165272,0.07677990325442127
9,3,3,0.8985283958595569,0.025535289681325634,0.11455802143250833
9,4,1,0.985427895095568,0.00368517084898914,0.04256901427318792
9,4,2,0.9649562581781445,0.008848083943086813,0.06729488650416432
9,4,3,0.9153541999314724,0.021337092884143004,0.10605486810102824
9,4,4,0.846118692081027,0.03872417123527189,0.1414754646516417
10,1,1,0.9918106947214712,0.0020608354854291275,0.03157458852975874
10,2,1,0.9910936198188467,0.0022450760821317757,0.032371089747222456
10,2,2,0.9673212983583528,0.008223582547035795,0.06653686051741016
10,3,1,0.9900235051667103,0.002518933742619536,0.032616511986741085
10,3,2,0.9638287696397615,0.009117864103184294,0.06877318863698406
10,3,3,0.9105647163975555,0.022506354303407573,0.10859101435366428
10,4,1,0.9914854154006203,0.0021532715529204577,0.03233890055276509
10,4,2,0.9654439423985466,0.008724950091063458,0.06802711426324809
10,4,3,0.9065111029745494,0.02356621684540973,0.11055866626060008
10,4,4,0.8424943854407207,0.039636226590443746,0.14447791698169057
10,5,1,0.9865468264564237,0.003407669035682884,0.03785193781069922
10,5,2,0.9640121989731378,0.00910103215240223,0.06952407801025356
10,5,3,0.9139707664713639,0.02172125007912429,0.10844857652297493
10,5,4,0.8509457670174505,0.03757285076576242,0.1414790433646401
10,5,5,0.7492004498652123,0.06311360916078632,0.18130897772606516
11,1,1,0.9927273755944155,0.0018301531005959631,0.030753354086371126
11,2,1,0.9912570344347226,0.002203883337367738,0.033759007992715764
