IN,OUT,No,R2,MSE,MAE
2,1,1,0.976633487,0.005890225,0.051239731
3,1,1,0.985142913,0.003745171,0.041147585
4,1,1,0.989040463,0.002762678,0.03781621
4,2,1,0.981406088,0.004695123,0.046095578
4,2,2,0.947565276,0.013217734,0.081615735
5,1,1,0.983055614,0.004271337,0.047665173
5,2,1,-1.014012129,0.508555411,0.557409596
5,2,2,-1.011407182,0.507035082,0.556091908
6,1,1,0.977373706,0.005703631,0.049558472
6,2,1,0.985065647,0.003771053,0.043676381
6,2,2,0.949192309,0.012807592,0.082752478
6,3,1,0.987916209,0.003056011,0.038595461
6,3,2,0.958966024,0.010361432,0.074736807
6,3,3,0.899829816,0.025250878,0.116294705
7,1,1,0.954912938,0.011365537,0.077735218
7,2,1,0.991002835,0.002271862,0.032790048
7,2,2,0.959848774,0.010121312,0.072818038
7,3,1,0.981891694,0.004579621,0.054263012
7,3,2,0.949977024,0.012631232,0.082905294
7,3,3,0.89639242,0.026117376,0.117260294
8,1,1,0.963056327,0.009312753,0.072678463
8,2,1,0.99023028,0.002466938,0.037579279
8,2,2,0.955244408,0.01128198,0.07649562
8,3,1,0.989322026,0.002696048,0.036669769
8,3,2,0.961564776,0.00968856,0.072656472
8,3,3,0.905032879,0.023898439,0.113239778
8,4,1,-0.982817868,0.501439061,0.552926398
8,4,2,-1.02394022,0.511018288,0.559336719
8,4,3,-1.001840008,0.504613887,0.554638641
8,4,4,-1.013069174,0.506588074,0.555750847
9,1,1,0.991790866,0.002069357,0.033317497
9,2,1,0.988659629,0.002858624,0.035935433
9,2,2,0.957508824,0.010692888,0.07657476
9,3,1,-0.88130158,0.475003908,0.534237706
9,3,2,-0.926440907,0.485607656,0.54143369
9,3,3,-0.889993111,0.475616031,0.534193097
9,4,1,0.987221843,0.003231495,0.038848144
9,4,2,0.961703144,0.009669453,0.072868353
9,4,3,0.908888477,0.02296694,0.112007055
9,4,4,0.835033282,0.04151381,0.148506492
10,1,1,0.992969454,0.001769234,0.030055492
10,2,1,0.991655484,0.002103444,0.031737202
10,2,2,0.962680669,0.009391395,0.07148387
10,3,1,0.992685102,0.001846915,0.031307585
10,3,2,0.965011834,0.008819643,0.069894309
10,3,3,0.902876136,0.024441183,0.114047769
10,4,1,-0.974335205,0.499293862,0.551437897
10,4,2,-0.954925267,0.49359292,0.547219827
10,4,3,-0.949295188,0.49136865,0.545432447
10,4,4,-0.99388108,0.501759398,0.55239855
10,5,1,0.986081651,0.003525497,0.036121063
10,5,2,0.96373208,0.009171872,0.071024181
10,5,3,0.903531841,0.024356941,0.11418055
10,5,4,0.83370922,0.041917754,0.149526851
10,5,5,0.744819267,0.064216132,0.18383263
