IN,OUT,No,R2,MSE,MAE
2,1,1,0.9960068561380037,0.0012181470174108882,0.02239997770150914
3,1,1,0.9963219382243144,0.0011220281905056446,0.021529233420636867
4,1,1,0.9963833687773516,0.0011032882082895321,0.02103664573281665
4,2,1,0.9963838202718303,0.0011037008587164792,0.02103751618089618
4,2,2,0.9801180685932639,0.006062836009749109,0.05110339169401958
5,1,1,0.9963766631836162,0.001104907590536121,0.02104903713938067
5,2,1,0.9963817508185133,0.001104332480365486,0.021040793644005185
5,2,2,0.9801020744865231,0.0060677132847134045,0.05116863551836919
6,1,1,0.9963938674006422,0.0010996613021162112,0.021047379275783606
6,2,1,0.9963982876123726,0.0010992852551292118,0.02104223444060851
6,2,2,0.9801165184179584,0.006063308723313538,0.051143596751215666
6,3,1,0.9964006901845053,0.0010994797469382205,0.021035145229324065
6,3,2,0.9801312800712176,0.006064168513574752,0.05113022369196141
6,3,3,0.9490819707180291,0.015527045897140553,0.08166172782751573
7,1,1,0.9964428214855703,0.0010847331453463917,0.020794260685189695
7,2,1,0.9964475503129323,0.001084249695782709,0.020784846865555547
7,2,2,0.9804233383651055,0.005969746433714129,0.050608406108374686
7,3,1,0.9964504511766381,0.0010842792763363321,0.020781590701309954
7,3,2,0.9804475049381755,0.005967652940941577,0.05058263756866655
7,3,3,0.9493963951775531,0.01543116467229625,0.08124774462882979
8,1,1,0.9964481109766654,0.0010831201573308588,0.020773508300364306
8,2,1,0.9964519902941961,0.0010828945609437717,0.02076442172500999
8,2,2,0.9803986268483266,0.005977282013166539,0.0506342580156567
8,3,1,0.9964523192105514,0.0010833220481276653,0.020765831496332047
8,3,2,0.9804058981274135,0.005978045510227008,0.05062426269140378
8,3,3,0.9494591720749842,0.015405864134002247,0.08119832213206346
8,4,1,0.9964553342612522,0.0010833239269324218,0.020769452590072318
8,4,2,0.9804311185343345,0.005975566012591348,0.05061099765470231
8,4,3,0.9495379304340329,0.015395681331413393,0.08115356671227163
8,4,4,0.9066408626440777,0.028457748810662008,0.10973097085095311
9,1,1,0.9964676817246044,0.001077152214231441,0.020674519636356428
9,2,1,0.9964686120376522,0.0010774057464056582,0.020671951448723414
9,2,2,0.9809764145795328,0.00579877268263433,0.049719841935265435
9,3,1,0.9964721029078358,0.0010772808858208747,0.020665455908266978
9,3,2,0.9810035646867145,0.005795700949875381,0.04967998611164651
9,3,3,0.9510457452286061,0.014922244623858504,0.07963587182647006
9,4,1,0.996475270094455,0.0010772311196824327,0.020675555435044478
9,4,2,0.9810229469197905,0.0057948449227517036,0.04967519854576907
