IN,OUT,No,R2,MSE,MAE
2,1,1,0.996167623,0.001169104,0.022088889
3,1,1,0.996462056,0.001079284,0.021221431
4,1,1,0.996516852,0.001062568,0.020730932
4,2,1,0.996517155,0.001063006,0.020732948
4,2,2,0.981000184,0.005793842,0.050045785
5,1,1,0.996512845,0.00106338,0.020754667
5,2,1,0.996517638,0.001062858,0.02074047
5,2,2,0.98100184,0.005793337,0.050050566
6,1,1,0.996531271,0.001057761,0.020673018
6,2,1,0.996534865,0.0010576,0.020665214
6,2,2,0.981045038,0.005780164,0.0499473
6,3,1,0.996537909,0.001057564,0.020663366
6,3,2,0.981058113,0.005781288,0.049943519
6,3,3,0.951717026,0.014723507,0.07936392
7,1,1,0.996576946,0.001043833,0.020478846
7,2,1,0.996580627,0.001043633,0.020470401
7,2,2,0.981232509,0.005722996,0.049675022
7,3,1,0.996584455,0.001043345,0.020464087
7,3,2,0.981254023,0.005721494,0.049654589
7,3,3,0.952184522,0.014580948,0.078865331
8,1,1,0.996606637,0.001034779,0.020512249
8,2,1,0.996609924,0.001034691,0.020502689
8,2,2,0.981475239,0.005648978,0.04936111
8,3,1,0.996610137,0.001035131,0.02050509
8,3,2,0.981480779,0.005650106,0.049354675
8,3,3,0.952808807,0.014384828,0.078521754
8,4,1,0.996612897,0.001035169,0.020509116
8,4,2,0.981506338,0.005647236,0.049326908
8,4,3,0.952861073,0.01438181,0.078478481
8,4,4,0.913206394,0.026456443,0.105766025
9,1,1,0.996655852,0.001019771,0.020406368
9,2,1,0.996656509,0.001020079,0.020405507
9,2,2,0.981985743,0.005491109,0.048616747
9,3,1,0.996659874,0.001019943,0.020398342
9,3,2,0.982007838,0.005489303,0.048586277
9,3,3,0.954045369,0.014007899,0.07731974
9,4,1,0.996662616,0.001019974,0.020402121
9,4,2,0.982036618,0.00548531,0.048562716
9,4,3,0.954104952,0.01400231,0.077281981
9,4,4,0.915212036,0.025845082,0.104407438
10,1,1,0.996838248,0.000963766,0.019888472
10,2,1,0.996841685,0.000963583,0.019879406
10,2,2,0.982428936,0.005356015,0.048014276
10,3,1,0.99684492,0.000963437,0.01987198
10,3,2,0.982450601,0.005354219,0.047983733
10,3,3,0.954721488,0.013801804,0.076578913
10,4,1,0.996847497,0.000963471,0.019876115
10,4,2,0.982469879,0.005353009,0.047972633
10,4,3,0.954763049,0.013801528,0.076560329
