IN,OUT,No,R2,MSE,MAE
2,1,1,0.996186416,0.001163371,0.021938374
3,1,1,0.996449224,0.001083198,0.020973242
4,1,1,0.996458034,0.001080511,0.020839626
4,2,1,0.996458496,0.001080909,0.020840346
4,2,2,0.980450725,0.005961395,0.050638119
5,1,1,0.996455991,0.001080717,0.020838959
5,2,1,0.996459514,0.001080598,0.020831737
5,2,2,0.980541372,0.005933753,0.05048195
6,1,1,0.996520996,0.001060894,0.020571961
6,2,1,0.996524571,0.001060742,0.020574882
6,2,2,0.98084185,0.005842125,0.049961381
6,3,1,0.996528314,0.001060495,0.020561291
6,3,2,0.98086214,0.005841102,0.04993458
6,3,3,0.950610955,0.015060794,0.079919308
7,1,1,0.996524078,0.001059955,0.020522002
7,2,1,0.996527956,0.001059709,0.020517771
7,2,2,0.980883171,0.005829524,0.049867619
7,3,1,0.996533211,0.001058999,0.020506156
7,3,2,0.980912518,0.005825726,0.049836447
7,3,3,0.950784942,0.015007738,0.079869053
8,1,1,0.996552413,0.001051314,0.020500879
8,2,1,0.99655677,0.001050915,0.020488716
8,2,2,0.981245764,0.005718954,0.049563348
8,3,1,0.996557063,0.001051337,0.02049034
8,3,2,0.981251607,0.005720025,0.049556234
8,3,3,0.951708871,0.01472011,0.079335674
8,4,1,0.996559872,0.001051375,0.02049168
8,4,2,0.981269126,0.005719672,0.049544998
8,4,3,0.951748991,0.0147211,0.079324257
8,4,4,0.910434576,0.027301349,0.107505956
9,1,1,0.996665153,0.001016935,0.020348082
9,2,1,0.996665585,0.001017311,0.020348877
9,2,2,0.981781499,0.005553367,0.048818796
9,3,1,0.996667767,0.001017533,0.020343737
9,3,2,0.981799898,0.005552744,0.048798845
9,3,3,0.952917222,0.014351781,0.078133108
9,4,1,0.996672915,0.001016827,0.020347216
9,4,2,0.981807105,0.005555394,0.048813047
9,4,3,0.952962468,0.014350875,0.078109081
9,4,4,0.912156849,0.026776365,0.106339231
10,1,1,0.996853722,0.000959049,0.019782523
10,2,1,0.996857076,0.000958888,0.019774843
10,2,2,0.982228691,0.005417054,0.048170046
10,3,1,0.996861948,0.000958238,0.019764457
10,3,2,0.982252651,0.005414612,0.048141372
10,3,3,0.95348281,0.014179378,0.077624116
10,4,1,0.996862578,0.000958862,0.019779557
10,4,2,0.982265457,0.005415431,0.048140266
10,4,3,0.953532312,0.014177019,0.0775974
10,4,4,0.913027061,0.026511107,0.105811713
10,5,1,0.996865749,0.000958708,0.019763034
10,5,2,0.982283729,0.005414463,0.048130509
10,5,3,0.953585559,0.014173143,0.077567913
10,5,4,0.913137373,0.026501278,0.105761828
10,5,5,0.861425889,0.042240185,0.133672966
11,1,1,0.996875816,0.000952314,0.019711571
11,2,1,0.996880087,0.000951867,0.019701657
11,2,2,0.982347954,0.0053807,0.047960095
11,3,1,0.996881504,0.000952266,0.019701061
11,3,2,0.982367243,0.005379651,0.047936891
11,3,3,0.953599775,0.014143725,0.077463234
11,4,1,0.996885227,0.00095194,0.019696149
11,4,2,0.982381907,0.005379872,0.047935706
11,4,3,0.953671037,0.014134695,0.077416574
11,4,4,0.913170085,0.02646751,0.105686236
11,5,1,0.996885757,0.000952272,0.019696409
11,5,2,0.982383721,0.005381982,0.047939615
11,5,3,0.953677617,0.014139576,0.07741806
11,5,4,0.913192944,0.026473742,0.105675322
11,5,5,0.861377552,0.042238064,0.133682741
12,1,1,0.996881291,0.000950645,0.019683774
12,2,1,0.996883429,0.000950847,0.019684764
12,2,2,0.98236401,0.005375806,0.047944433
12,3,1,0.99688765,0.000950389,0.01967888
12,3,2,0.982384634,0.005374345,0.047921263
12,3,3,0.953638416,0.014131946,0.077413522
12,4,1,0.996887473,0.000950914,0.019686889
