IN,OUT,No,R2,MSE,MAE
2,1,1,0.98918751519587,0.002725608801694,0.037428864851116
3,1,1,0.991140371178338,0.002233333293272,0.032973576694027
4,1,1,0.989952804807561,0.002532694763963,0.035166331046031
4,2,1,0.987791344967531,0.003082790561943,0.038180634155498
4,2,2,0.958877763484164,0.010366084375914,0.074233727171462
5,1,1,-1.04837954812844,0.516355067935552,0.562551699393331
5,2,1,0.981997153238666,0.004545873885072,0.047644502091414
5,2,2,0.954519632943236,0.011464680968323,0.079669725185026
6,1,1,0.990510149103565,0.002392199535874,0.033922810694769
6,2,1,0.992228172865696,0.001962453298498,0.031901195059328
6,2,2,0.964016926874087,0.009070605193963,0.070385211582339
6,3,1,0.989081922544359,0.002761200270454,0.038804352149864
6,3,2,0.961988544391059,0.009598219974709,0.072723164043778
6,3,3,0.900444205433661,0.025096002893433,0.116208017900644
7,1,1,0.991330130117346,0.002185498901481,0.033034447517912
7,2,1,0.991516022339389,0.002142277440907,0.031965705960959
7,2,2,0.953472302270177,0.011728691855042,0.07772890947543
7,3,1,0.991068368889772,0.002258824627079,0.032472291885669
7,3,2,0.962397659975315,0.009494914765533,0.071320905834814
7,3,3,0.9016929305544,0.024781224538444,0.114478685875268
8,1,1,0.992686606824962,0.001843558550068,0.031104069888608
8,2,1,0.989370784659762,0.002683968434247,0.039089615368859
8,2,2,0.960366727928134,0.009990746544933,0.075165393145247
8,3,1,0.9886537653617,0.002864775029675,0.036615855708473
8,3,2,0.96579149702713,0.008623109531349,0.068770351948515
8,3,3,0.912626296905094,0.021987558371213,0.109090349195402
8,4,1,0.988365296469696,0.002942325118279,0.036082187771341
8,4,2,0.954896973983087,0.011387920910774,0.076973602550314
8,4,3,0.887111477283557,0.028456378140491,0.122589437112516
8,4,4,0.818651438458904,0.045636294916894,0.154602752053967
9,1,1,0.990507502949766,0.002392866577744,0.03441566531919
9,2,1,-0.889787034602541,0.476368129971235,0.534968389295843
9,2,2,-0.900709028446321,0.478312687105174,0.536086938702063
9,3,1,0.989461937951681,0.002660722079137,0.036492284396811
9,3,2,0.951602734950253,0.012199742206571,0.081006920293403
9,3,3,0.892024720657906,0.027171937014086,0.120053574179473
9,4,1,0.987791236253247,0.003087500437088,0.036807032139523
9,4,2,0.96262549271624,0.009436571569876,0.07139837113172
9,4,3,0.912953025531878,0.021942369001253,0.110836101787517
9,4,4,0.839913282227396,0.040285760209312,0.147789123394153
10,1,1,0.993082228786879,0.001740854432849,0.029912837446317
10,2,1,0.990836562226188,0.002309873883401,0.03293670181238
10,2,2,0.96426702374343,0.008992189564921,0.069994523551074
10,3,1,0.990430237700406,0.002416239126878,0.034957573983679
10,3,2,0.964955036027784,0.008833960465744,0.070217297192714
