IN,OUT,No,R2,MSE,MAE
25,1,1,0.9926818366268465,0.001838487775634016,0.03097230983144939
25,2,1,0.9920190574216236,0.0020083508451573247,0.0309491664988338
25,2,2,0.9663937796923123,0.008442640874567293,0.06850041897284818
25,3,1,0.9923211316828586,0.0019354715256328365,0.031345739832074074
25,3,2,0.9639814824081994,0.009063819158754328,0.0706720932804677
25,3,3,0.9088929684513349,0.022888142179360017,0.11140229267381745
25,4,1,0.9858865261009448,0.003563310103832436,0.04039223750133225
25,4,2,0.9585465184581073,0.010448418940012257,0.07461830925565614
25,4,3,0.9110328507077442,0.022387988350705247,0.11184926815058445
25,4,4,0.832536709657155,0.04207055738769318,0.149913046917361
25,5,1,0.9912587504092639,0.002210845694355181,0.03349804289380624
25,5,2,0.9663320569439456,0.008500339641746516,0.06918717752427932
25,5,3,0.911476018404487,0.022312616734329552,0.11068894408444171
25,5,4,0.8384843880152412,0.04064432398180222,0.147497280228989
25,5,5,0.7466761643767323,0.06364066382811628,0.18427755826513123
25,6,1,0.9806658658685755,0.004891787016567197,0.05551443545341727
25,6,2,0.9532780268946106,0.011797447947439277,0.08202411630965523
25,6,3,0.9017346274306518,0.02476670597911423,0.1184942693662591
25,6,4,0.825631117560669,0.0438744079807301,0.1540683373050924
25,6,5,0.742536227645141,0.06467868969404804,0.1862876481998621
25,6,6,0.6482380495149562,0.08820807204488422,0.21676814559360263
25,7,1,0.9687237656447019,0.00793026597967216,0.0754171151038436
25,7,2,0.9340374251357498,0.016689388058802445,0.10613268652686043
25,7,3,0.9048189276659468,0.024033525808286518,0.11832707679662925
25,7,4,0.8443929337878779,0.039219048952655426,0.14802487907251013
25,7,5,0.7611583779756335,0.06009693140702679,0.182961903392208
25,7,6,0.662040317288267,0.08490044734170768,0.2127430737813975
25,7,7,0.5724868437331584,0.10720349724045772,0.23893216111832596
25,8,1,0.9747032545180496,0.00642770381671569,0.052852269832602106
25,8,2,0.9404595302122174,0.015096822610032814,0.0882590216932801
25,8,3,0.8664293051184518,0.03379512041107763,0.13563041458319813
25,8,4,0.7925918706663829,0.05237121737495395,0.16652101613806394
25,8,5,0.6874748026052366,0.07876853740597473,0.2027920605416338
25,8,6,0.5837839006767215,0.1047276021638283,0.23265943874140543
25,8,7,0.44761800097901105,0.13876648967146324,0.26632773535476706
25,8,8,0.34661299620686914,0.163843780785,0.2879805239083825
26,1,1,-0.9621109495900995,0.49292654609111053,0.5462236259336265
26,2,1,0.9900420463877947,0.002505852454983866,0.03510409010621633
26,2,2,0.9602092547436683,0.009996333097112758,0.07503700984077259
26,3,1,0.9915437089193385,0.002131422225661522,0.03310009988551358
26,3,2,0.9626042513202889,0.00941039015487651,0.0716725855246881
26,3,3,0.9106315586233703,0.022451369096396293,0.11065269455875762
26,4,1,0.987749466555004,0.0030929627896087216,0.03894494169182491
26,4,2,0.96190181149816,0.009602711751014181,0.07349045530625653
26,4,3,0.9082058232579595,0.023099390909024766,0.1122350686665144
26,4,4,0.840376534897079,0.040101016379688006,0.14707042279977042
26,5,1,0.9878156660144428,0.003076583380684425,0.03925620712500224
26,5,2,0.9646258575662198,0.008915663392030183,0.07021773795328412
26,5,3,0.9144472808284512,0.021526632804447558,0.11014560663350118
26,5,4,0.8497825429878755,0.03773683652597519,0.14550956821238759
26,5,5,0.7661271475070741,0.0586461196089931,0.178762491493483
26,6,1,0.9893802196628096,0.0026869423383086796,0.03442443658146015
26,6,2,0.9595408963241263,0.010216053344740074,0.0734157723495284
26,6,3,0.9113519000008738,0.022342778243028008,0.11146126016857427
26,6,4,0.8363460177956789,0.041178342617420746,0.1490642410953559
26,6,5,0.7589264793594276,0.06056121718543212,0.18080094784812115
26,6,6,0.6631440306206686,0.08447023782643238,0.21178127379325645
26,7,1,0.9863670029236165,0.003456723456143945,0.03766551059025363
26,7,2,0.9561168123137993,0.011103016370411533,0.07533226478328174
26,7,3,0.9000719516782494,0.02523215245866966,0.1160808179207761
26,7,4,0.8183402018515717,0.04578535338877622,0.15624587314929356
26,7,5,0.7208699327229502,0.07023424294562974,0.19224959622054813
26,7,6,0.6174479607314713,0.09610270374494295,0.22413148254229662
26,7,7,0.5014441785727544,0.1250182055057735,0.2540313757711161
26,8,1,0.9746566257145304,0.006439551828491094,0.04817026023043696
26,8,2,0.9502646616819729,0.01261067611178461,0.0788144149470975
26,8,3,0.9005279586305159,0.02516771825285906,0.1151238578217007
26,8,4,0.8172610146065686,0.04614217946840505,0.15648546194327428
26,8,5,0.7306202651223377,0.06789419829185982,0.18705607103015454
26,8,6,0.6201401151084712,0.09557971199960426,0.2217665074895934
26,8,7,0.5428399284909503,0.11484533973536572,0.24370278985078023
26,8,8,0.42480463065459073,0.14423639199504862,0.2701447761722526
27,1,1,0.9927956128671385,0.0018099046166816207,0.031454967804591026
27,2,1,0.9914054540646904,0.0021627600278304377,0.0326031237694506
27,2,2,0.9608170934679923,0.0098436302935205,0.07306294557017153
27,3,1,0.9907906206594564,0.002321239373591567,0.033721015207288034
27,3,2,0.960437809165134,0.009955560839988123,0.07324016749198929
27,3,3,0.9003651449689511,0.025030523870733942,0.11532873418796938
27,4,1,0.9878435945252869,0.003063888247537445,0.038788811126383424
27,4,2,0.9642566582784717,0.008993680152940244,0.07038622188804107
27,4,3,0.9111253670356421,0.02232661610834831,0.1101280870927703
27,4,4,0.8383502735246495,0.040535398155804245,0.14753678155876945
27,5,1,0.98974306518226,0.0025899089137271084,0.035214032322902565
27,5,2,0.9617382967332394,0.009643441329235475,0.0719430837648904
27,5,3,0.9074115933275674,0.023296940783258533,0.11228237588793988
27,5,4,0.8377236201211183,0.040766215467368326,0.1477076245617526
27,5,5,0.7578822400433916,0.060713618355111285,0.1818951981662626
27,6,1,0.9600251339884547,0.010114160231590523,0.08381096346442256
27,6,2,0.9111575927327668,0.022432992564252047,0.11863520874784456
27,6,3,0.8498281465558052,0.0378491633761042,0.14721198085141096
27,6,4,0.7696386837883378,0.057963130973010694,0.1776968053478698
27,6,5,0.6982990668902279,0.07579171568307608,0.2005553650447391
27,6,6,0.6093410371360275,0.09796191399828554,0.22342092142996717
27,7,1,0.9861042444614534,0.0035233473492153173,0.04269784635990121
27,7,2,0.9613390564703728,0.009781720780507189,0.07187762441678225
27,7,3,0.897005249277492,0.02600650464327484,0.11689176510186697
27,7,4,0.827477811619576,0.04348231938443933,0.15165994759806714
27,7,5,0.7407321743118164,0.06523653877565007,0.18529371037068185
27,7,6,0.6534198300825895,0.08706604062843636,0.21491658131539818
27,7,7,0.5525919627531273,0.1121923514709712,0.24092944683658252
27,8,1,0.973593583957659,0.0067096623675264476,0.05444607344430752
27,8,2,0.9407620503102357,0.015020116929475856,0.08699068278374497
27,8,3,0.8776036880603876,0.03096785641146224,0.12845432952337305
27,8,4,0.8078017014065291,0.04853068636738101,0.15992589155866843
27,8,5,0.7305383802039687,0.06791483648458574,0.18861722569862957
27,8,6,0.6330145656419852,0.0923402641845295,0.21990442771500848
27,8,7,0.5249483765648785,0.11933996095755611,0.24701227897068714
27,8,8,0.4060871804304128,0.14892999286800895,0.2739302779065649
28,1,1,0.9936992824592737,0.0015828824235931574,0.028851654424962087
28,2,1,0.9912847082403845,0.0021931449072995464,0.03472693955849986
28,2,2,0.9626311036689954,0.009387909997407129,0.07277673367296472
28,3,1,0.9910139994343513,0.002261042506076257,0.03244207025701719
28,3,2,0.9636279389037598,0.009137197174032947,0.07034161531303365
28,3,3,0.9125528548796267,0.021928307101609906,0.10958030194844627
28,4,1,0.9772246763040945,0.005740269749219831,0.06585135411599095
28,4,2,0.9613774399542137,0.009718144275534177,0.07458789620577483
28,4,3,0.9114873627889275,0.02223567744624777,0.11152177567784803
28,4,4,0.8427134558090422,0.039441283523007874,0.14559939763468763
28,5,1,0.9873266560654334,0.0032000599600276554,0.043337702564085145
28,5,2,0.959334647151255,0.010249254759921007,0.07543340828184521
28,5,3,0.9016080681922447,0.02475721411845159,0.11694068309309621
28,5,4,0.833355749286329,0.0418634889197189,0.15032827957569128
28,5,5,0.7428612358216853,0.06448029585035425,0.18530587282085603
28,6,1,0.9410331273288023,0.014919384554786039,0.11025725434068283
28,6,2,0.9269992903844602,0.01843291313645567,0.11316609824188113
28,6,3,0.8931057638647765,0.026941516100747954,0.12929852247481324
28,6,4,0.8352468343416719,0.0414549173286428,0.1570441075218796
28,6,5,0.7620752154443815,0.059770208328906525,0.18539366035794785
28,6,6,0.6733764505910776,0.08190434905790929,0.2142450169821209
28,7,1,0.9765811217373158,0.005937988936228425,0.043437542776288106
28,7,2,0.9382774292347977,0.015616611959240655,0.08706497635962307
28,7,3,0.8737794594432653,0.031871091012292026,0.12841651461656833
28,7,4,0.8034292327124719,0.04954349910049284,0.16097377304182983
28,7,5,0.690878473708657,0.07778064394517895,0.202009006698396
28,7,6,0.6136617457815153,0.09705385667657035,0.22355781689177212
28,7,7,0.5024622324578285,0.12476291760349648,0.2525221709084121
