IN,OUT,No,R2,MSE,MAE
2,1,1,0.9961718122171976,0.0011678255757552824,0.022107614482383058
3,1,1,0.9964660038124293,0.0010780795944773352,0.02119283220677898
4,1,1,0.9965351933702183,0.00105697265308742,0.020667555680113837
4,2,1,0.996535467417382,0.0010574163548065728,0.020669801729805357
4,2,2,0.9810825571892178,0.0057687229243090984,0.04996248261413594
5,1,1,0.9965402671312517,0.0010550178748556242,0.020679574960216655
5,2,1,0.9965437681148098,0.001054882883694067,0.020673344977718448
5,2,2,0.981165948028287,0.0057432935547146865,0.04991380197244213
6,1,1,0.9965665555879318,0.001047001420189287,0.020610495900252053
6,2,1,0.996570062521932,0.0010468575193864737,0.020603575474589818
6,2,2,0.9811474442031347,0.00574893614824129,0.04988797602164733
6,3,1,0.9965730015927707,0.0010468438491506393,0.02060285070210773
6,3,2,0.9811714191890565,0.005746705742407596,0.04986717493431067
6,3,3,0.9521401499849421,0.014594478582406428,0.07914518376987462
7,1,1,0.9965981331328808,0.001037372100346085,0.020438321575079275
7,2,1,0.9966017210144659,0.001037194972715185,0.020430880609229898
7,2,2,0.981356197725878,0.005685278430640398,0.0495429962236095
7,3,1,0.9966048747612148,0.0010371075649818634,0.02042722035210266
7,3,2,0.9813865663925322,0.005681040269152252,0.049520575195857355
7,3,3,0.9525893131307284,0.014457509872535398,0.07868196538395313
8,1,1,0.9966223216267817,0.001029996012538321,0.02045154745148777
8,2,1,0.9966261039950425,0.0010297529984153698,0.020441845944053606
8,2,2,0.9815819400041654,0.005616440127875704,0.04930469269329168
8,3,1,0.996626253247174,0.0010302094407720335,0.02044484243364926
8,3,2,0.9815874033611419,0.005617575196061615,0.049298438192601775
8,3,3,0.9531745644324887,0.014273337576480326,0.07831668346325513
8,4,1,0.9966289846869479,0.0010302527278566547,0.02044929209518364
8,4,2,0.9816063927293308,0.005616683541591805,0.04929362045786926
8,4,3,0.9532278083664294,0.014269921225107663,0.07829463695614525
8,4,4,0.913927047077522,0.026236772779096716,0.10561192275908547
9,1,1,0.9966757175663512,0.0010137133477119845,0.02034078166332203
9,2,1,0.996676286883569,0.0010140453694772926,0.020340518768534807
9,2,2,0.9821336729447784,0.005446016982443544,0.0484482205322571
9,3,1,0.9966795643132796,0.0010139303399315115,0.020334353465047486
9,3,2,0.9821634263902355,0.0054418339497798555,0.04840779559064144
9,3,3,0.954418331372093,0.013894212317307007,0.07719715577031269
9,4,1,0.9966822705360455,0.0010139674587935253,0.02033844251204096
9,4,2,0.9821719621863721,0.005443980894729454,0.04841331541083662
9,4,3,0.9544622399135231,0.013893303403286983,0.07717630628892276
9,4,4,0.9158975389458999,0.02563612709821424,0.10438915314608355
10,1,1,0.996838848267864,0.0009635828317752676,0.019883424523453937
10,2,1,0.9968433568463111,0.0009630733041507667,0.019869936445527765
10,2,2,0.9825654212765795,0.005314411379352115,0.0478383469206988
10,3,1,0.9968453952031631,0.0009632921145856252,0.019867739301261664
10,3,2,0.9825869717820079,0.005312612735961163,0.047809179609675456
10,3,3,0.9550270802723202,0.013708653369548194,0.07648738659969734
10,4,1,0.996847958309037,0.0009633298127893657,0.01987217539431562
10,4,2,0.9825853839247434,0.005317738171403008,0.047827506398524976
10,4,3,0.9550773715286509,0.013705630356881188,0.07644734462244292
10,4,4,0.9164643327669059,0.02546335690514646,0.1038398524664201
10,5,1,0.9968515268514027,0.0009630582994764902,0.019861078268033787
10,5,2,0.9826041137853981,0.005316546370076021,0.047804927328488955
10,5,3,0.9551194013490114,0.013704767970215727,0.07642041180984221
10,5,4,0.9166067984922459,0.025442776458887387,0.10374972731250057
10,5,5,0.867786966899979,0.04030120020402547,0.13096646991046212
11,1,1,0.9969069513638354,0.0009428236339798235,0.019641353411048036
11,2,1,0.9969102710950857,0.0009426581594782492,0.019632217166581444
11,2,2,0.9826762900324523,0.0052806163455189695,0.04756263410195534
11,3,1,0.9969133950732927,0.0009425276312645013,0.019625460747362548
11,3,2,0.982697834115182,0.005278789288609837,0.047533370527794966
11,3,3,0.955114771778482,0.013681923229083556,0.07619560183666385
11,4,1,0.9969159068939837,0.0009425633052258099,0.01962993003284896
11,4,2,0.9827067205716836,0.005280686736204229,0.047533929931834175
11,4,3,0.9551612093733257,0.013680051922401027,0.07617488480803232
11,4,4,0.916824766149078,0.025353489537652183,0.1034899579856774
11,5,1,0.9969164795870427,0.0009428777458390687,0.019629824615630613
11,5,2,0.9827088381301717,0.005282654966767435,0.04753659379396963
11,5,3,0.9551699046272845,0.013684065893323228,0.07617177926755234
11,5,4,0.9168537189056661,0.02535730678407454,0.10347099039137066
11,5,5,0.8675889957867702,0.04034544577572179,0.13087182101577619
12,1,1,0.9969121398935517,0.0009412420654312817,0.0196493918174816
12,2,1,0.9969154089540745,0.0009410906288478699,0.019640505862736687
12,2,2,0.9827176043110959,0.005268022919773705,0.04751523847054805
12,3,1,0.9969184651931036,0.0009409794162745276,0.01963446850912252
12,3,2,0.9827343780566516,0.005267639946494038,0.04749737016543098
12,3,3,0.9551393421418629,0.013674433686559033,0.0762105958858261
12,4,1,0.996918229759833,0.0009415173478921254,0.01964548298042325
12,4,2,0.9827343888079886,0.005270204296370467,0.047508532271832236
12,4,3,0.9551465471066533,0.013679057564237068,0.0762114321016897
12,4,4,0.916754899313401,0.025364664483906313,0.1035954660720871
12,5,1,0.9969207851639968,0.0009415611880903351,0.019640213016103893
12,5,2,0.9827507960111805,0.005269836336638647,0.047491849861339905
12,5,3,0.9552121275645216,0.01367117764379893,0.07616661717084448
12,5,4,0.9168515706748649,0.025357961934813118,0.10353298858569941
12,5,5,0.8677582419386975,0.04029387671251658,0.13077632485266732
12,6,1,0.9969267817606465,0.000940557414704185,0.019618174595017204
12,6,2,0.9827728818437601,0.005267701898843778,0.04745932351040501
12,6,3,0.9552440619364265,0.013673469734640788,0.0761333779226358
12,6,4,0.9169358901457871,0.02535472528365575,0.1034993253295783
12,6,5,0.8678830539184537,0.04029199970307636,0.13075652644704147
12,6,6,0.810511476959255,0.05773688506395408,0.15604902767780857
13,1,1,0.9969135112965513,0.0009408240341256624,0.019649619185624616
13,2,1,0.9969166746159455,0.0009407044828374563,0.019641599804951674
13,2,2,0.9827272725755893,0.005265075837675691,0.04756612561523455
13,3,1,0.9969168197634181,0.0009411187098222615,0.019644422634087232
13,3,2,0.9827315077676952,0.005266410589502602,0.047562369844162865
13,3,3,0.9551109416233055,0.013677632621407062,0.0762717142733285
13,4,1,0.9969195298790835,0.0009411201460460358,0.019645226669469912
13,4,2,0.9827483498851556,0.005265942777444239,0.0475469913534316
13,4,3,0.9551616862192082,0.013674440555316882,0.07623019779616134
13,4,4,0.916735348574138,0.025370621566518127,0.103602435483429
13,5,1,0.9969228886656941,0.0009409179801094939,0.01963722896350782
13,5,2,0.9827700931672757,0.005263940826651614,0.047525739503791915
13,5,3,0.9552025495944627,0.013674101250637604,0.07618764590807003
13,5,4,0.9168583731244265,0.02535588737659901,0.10353094505056482
13,5,5,0.8675534185154623,0.04035628611998871,0.13081546693888674
13,6,1,0.9969278216422898,0.0009402391592749207,0.019618642350430836
13,6,2,0.9827918571484745,0.005261899637097569,0.04749351907784453
13,6,3,0.9552514710845784,0.01367120615203259,0.07615056847582015
13,6,4,0.9169394755853132,0.025353630853891033,0.10349888745802213
13,6,5,0.8676735854090852,0.04035588178154999,0.13080425295814732
13,6,6,0.8106879218044073,0.05768312256910102,0.15603607122601149
14,1,1,0.9969172971363686,0.0009396700337609502,0.019633683820400497
14,2,1,0.9969174628424089,0.0009400882318436254,0.019636658723557295
14,2,2,0.9826961673506589,0.005272453343393666,0.047616646391700726
14,3,1,0.9969206205630018,0.0009399585429406642,0.019628344686278772
14,3,2,0.9827160608941953,0.005271121456964604,0.04757766875024937
14,3,3,0.9551535689934639,0.013664644121988062,0.07625771928782564
14,4,1,0.9969233231603895,0.0009399612536313679,0.019629501276848878
14,4,2,0.9827329147224118,0.005270654250447034,0.0475631098260769
14,4,3,0.9552044342410743,0.01366140359574871,0.07621658467391272
14,4,4,0.916978308620013,0.02529659198404681,0.10340102300036134
14,5,1,0.9969266164058599,0.0009397781130829033,0.019621758251304838
14,5,2,0.9827526212651941,0.005269278699896047,0.047538363006156235
14,5,3,0.9552481746779106,0.013660174520321757,0.07617863440510361
14,5,4,0.9170424608478511,0.025299745733020712,0.10336443115371186
14,5,5,0.8675077333622374,0.0403702063215848,0.13080471236671556
14,6,1,0.9969315100805815,0.0009391103139688693,0.019603225829520825
14,6,2,0.9827741679748836,0.005267308626138491,0.04750675759638219
14,6,3,0.9552965947411033,0.013657420339948089,0.07614189821087568
14,6,4,0.9171229711818056,0.02529762013580842,0.10333342139730743
14,6,5,0.8676279344286979,0.04036980406285279,0.13079302752114724
14,6,6,0.8105189142253533,0.05773461893948903,0.15598937586437125
14,7,1,0.9969324951300653,0.0009393450804089686,0.01960128584648168
14,7,2,0.982784854321576,0.005266943394800465,0.0474899715497546
14,7,3,0.9553191702940352,0.013657613545030972,0.07611943305231098
14,7,4,0.9171505592005798,0.02530172170759959,0.10331551115141847
14,7,5,0.8676464794102208,0.04038381991212919,0.13079578292404753
14,7,6,0.8105198988221229,0.057763115627898,0.15602769478218992
14,7,7,0.7508031162363771,0.07589995985262589,0.17955949848660432
15,1,1,0.99691393595203,0.0009403193522139068,0.019594736942848495
15,2,1,0.9969202106500656,0.0009392502268141937,0.019583697563742262
15,2,2,0.9827530401315385,0.005255124287468675,0.04749507961978478
15,3,1,0.9969234474220762,0.0009390956644318562,0.019574488655113794
15,3,2,0.982767801206977,0.005255342098380641,0.04747788686912437
15,3,3,0.955413635385463,0.013585402260038374,0.07591545783954157
15,4,1,0.9969261546947861,0.0009390961863006706,0.019574633184119297
15,4,2,0.9827842154718764,0.005254995063683862,0.04746480302945582
15,4,3,0.9554631507526651,0.013582502244200932,0.07587530694761974
15,4,4,0.916970554912919,0.02529895452763583,0.10321232201533623
15,5,1,0.9969295162442958,0.0009388914015449221,0.019566060204038983
15,5,2,0.9828021430269624,0.005254149214512825,0.0474477609517857
15,5,3,0.9554834488574832,0.013588358760183359,0.07585182366563181
15,5,4,0.9170761163019174,0.02528948175413334,0.10314374225095024
15,5,5,0.8673202871834245,0.04042732090725008,0.13075791540700374
15,6,1,0.9969315429283645,0.000938789017971235,0.01955812638159854
15,6,2,0.9828072996699804,0.00525530207133972,0.047442346729229416
15,6,3,0.9554884470084016,0.013593560990871239,0.07585686263026642
15,6,4,0.9170751267309362,0.025302108575664256,0.10317029723195315
15,6,5,0.8673114317828745,0.04045018479925179,0.13082043341069005
15,6,6,0.8095823841191672,0.05799707116039675,0.15640710763633286
15,7,1,0.9969351661184996,0.0009385271583674373,0.019546752350514614
15,7,2,0.982832783464632,0.005252279558190966,0.047393105458745935
15,7,3,0.9555507383347704,0.013586830015930139,0.07579692024735529
15,7,4,0.9171788043279193,0.025293095815322658,0.10310177437515203
15,7,5,0.8674541916227756,0.040442490927035966,0.1307558474603633
